visitor_id,session_id,chat_id,assistant_message_count
3ead5bb4-cb47-40b1-b6f9-17ddae18b4ea,64c0ef9f-2db2-4d30-8d63-9d8501cd2fec,6,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,53f6836f-9a07-4302-963c-6ab6263627ec,2,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,c5550da5-0a75-49a6-af68-1045c633980a,4,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,6b3a1124-fac9-4fcc-8f9c-737feec1257f,5,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,ce7fa1de-f348-426d-9f3d-a1bf95339cb8,7,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,30fae1b6-9218-40d1-b293-1ca3452f5080,8,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,f44c9d95-30fb-4047-ab5f-f0a15f1e3527,10,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,3fc88e37-f696-4469-84fb-54fb95a34e09,1,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,96b754c8-36ba-46c6-a554-83a96b80b87d,3,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,1221d5d3-dadb-4e91-8010-0da56d5cc667,7,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,76bfd653-cf3f-4555-81d8-9fbe118bf1bf,2,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,90cc1a0b-9815-4933-b313-c47c5ca2f03a,1,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,d00eb058-900f-40a4-bc47-fd7dffe93912,4,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,5de6f18f-6b09-44e1-9586-ff0b7ae9f10e,6,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,6f70efe5-3d2a-4061-bfbe-1c3b37dbd6bd,1,1
36d4e150-960d-4f0c-bc20-5680c84db9ec,6f70efe5-3d2a-4061-bfbe-1c3b37dbd6bd,2,1
a1013dca-7d78-498e-ae0c-0478ca48df3a,09e8a012-9f95-4399-9acc-8185f3f5d1a2,1,2
a1013dca-7d78-498e-ae0c-0478ca48df3a,09e8a012-9f95-4399-9acc-8185f3f5d1a2,1,3
739b9f1c-9320-4579-8db2-ab0e2108ad7e,b0377583-8c04-4b2c-a649-0d175b2a9a4c,1,3
e99567ac-0511-498f-ba1f-5650e51bf397,975e0c2b-2bfc-44f4-b1ed-0534a25ed1bd,2,1
anon_5141f9c8-7e92-4571-889c-f7ebbe13a9ca,e1826264-d6ef-4644-a1f4-f0dec6ef7325,1,1
anon_5141f9c8-7e92-4571-889c-f7ebbe13a9ca,e1826264-d6ef-4644-a1f4-f0dec6ef7325,1,3
a346a318-0082-4b40-a576-defc7afde86d,15be92e4-4105-445e-83e2-49cc0a994832,1,5
965a51f5-e08e-4ce6-b252-90b12d437bf8,dcaf4e82-b1b6-47f9-9bcf-0e422b86fd88,5,1
8877513f-9479-4abe-8aa2-b2d6491d0dc6,a702677e-3966-4516-a7e7-7d897498db65,3,1
8877513f-9479-4abe-8aa2-b2d6491d0dc6,a702677e-3966-4516-a7e7-7d897498db65,3,2
anon_2b5c73d7-3bfd-4db0-aed8-85a05911d31e,6e878887-aebf-4364-b1a4-ea2b33dd0f40,1,1
739b9f1c-9320-4579-8db2-ab0e2108ad7e,24ec4397-1c00-465a-bf84-8f9e41758fc9,3,2
anon_ecf002a7-3777-43ba-aa33-ee49f440057e,70b84e86-fb8e-4447-9344-f588d0f5e97c,6,1
anon_7388f1a5-630e-4890-9c16-5235272a1b99,6fd149b5-6c78-4397-878d-a31067428d9a,1,2
5cb59d4a-d9ec-4a72-a92c-117d88350652,ed7291c9-919d-4d2e-bf04-8c457728d243,3,1
13343401-a266-4438-bc1e-e51d2a4f8cf2,4b7c6b5b-9a27-42b6-b36d-5b0b0cb2940a,2,1
7a820d07-6006-4a1a-bc82-066b14740426,308ae331-4b8c-4944-9b31-1d128b1e33d9,1,3
b3bc63af-d1ac-46e0-9d58-82051ed194ee,4533329a-ad9e-4d7c-80f3-d408cc910e2d,6,1
ee89a64d-d3c8-4c7a-aefd-314adafb1764,cc3e73ab-c6f0-4dbf-ad15-b09d94398c34,3,2
b595fdba-357c-4f31-9716-53c21554e677,00cef51b-5d5b-4153-b867-b84bd8e897e6,1,5
c072de6c-e4d1-40b2-9f22-d041ba5cd542,a139072d-a59a-4cde-a63a-4c88bafa9537,1,2
85056bd5-bef6-414b-8ab2-13c85b289da9,a62468fc-9003-400a-a5bf-d435e1fcbeef,2,1
902a3d6f-1fe9-4444-bbbd-f4d2f2676328,1e3f4b75-c598-462c-b6bb-644d44ef0b1f,2,3
b986a572-bdea-42a3-a024-fc15bbd4f896,28bdb455-e6a3-46c3-8dd3-25362cbe7340,1,3
4086486f-b885-4a36-b79c-2dcb1060584c,db54548e-8cb1-436c-8db3-fbe26993c9ea,2,3
4086486f-b885-4a36-b79c-2dcb1060584c,db54548e-8cb1-436c-8db3-fbe26993c9ea,2,4
anon_46b0376d-42fb-469e-a311-4de557e053ca,32755970-0953-4a25-8245-0549bbe3521d,4,1
6644455a-84a9-42dd-9240-0759690b636c,1c420be6-ecd8-4093-a389-3de6b1374f29,1,1
fc3197d8-7813-4478-9c58-47aa00f39b86,ff662105-e79c-44a9-b437-105033c6b72d,4,2
c5156b73-9514-4991-b512-dd2096b5f639,15395b32-c9ce-4223-8766-eed5366344b3,2,1
f5d61b98-2b7f-44cd-8f86-e55d0816bfa3,54aeb8bc-50e5-44a9-8f72-618e8e5cbbc7,1,1
bce7f2d9-69ed-4e42-82a0-16608d5de58a,a9c519fc-b9d3-460c-bf41-64de99315a1c,1,2
d427f186-adee-4e4a-8835-2c0b4c4a20a8,1df19b95-6be4-40e7-adf4-425669e25aff,1,3
c4e35449-264e-46cd-9600-96f9e12dee80,017b3694-a763-42de-ae13-3e272a5e7e58,3,6
42a1f53a-704a-4ea8-a5a3-55e49825f178,ba1fe6be-9393-4e40-9d6f-1243155b1170,1,2
954e32b6-8518-4383-9b1c-4c6fe3297761,822bd97a-db57-450d-89f6-a1089c5cbefb,1,1
ab0d6f16-7414-43d6-ba34-dfe7a0983e27,2517b396-c315-42fb-908e-f5d99b76b3ac,6,1
anon_c10a4245-ceab-4a75-97a7-b40301401802,29b84cb3-eb6c-452a-a86c-86f280ebfabb,2,1
anon_c10a4245-ceab-4a75-97a7-b40301401802,29b84cb3-eb6c-452a-a86c-86f280ebfabb,2,4
8e141001-8091-460c-9e6e-1caa976de3b7,9bb5e9ec-2547-4225-b296-79c5cfa84551,1,1
1c5c8127-0a6d-416a-88a1-365bfe37b500,6c4f54b2-5f43-4c5e-918e-11792d140222,14,4
7376edfa-9f30-4c0c-be26-c63f6500ec60,9271c046-2f6c-4bac-9e5f-d43eafb64ab5,1,1
644ce675-3e53-4a5c-9f32-a7b0f89350b4,97587f9a-dc4c-44e3-adbb-27ecc92fa1d5,1,2
e3c85e56-b703-437d-b87b-7854953ae222,0c04950c-94e9-45ef-a914-4ed3fc30ef57,4,2
1a04235e-c380-451c-a374-620e0760a6cf,9c0d6081-8e54-41ab-89f4-4f4210fe082a,2,1
1a04235e-c380-451c-a374-620e0760a6cf,9c0d6081-8e54-41ab-89f4-4f4210fe082a,2,3
c5156b73-9514-4991-b512-dd2096b5f639,15395b32-c9ce-4223-8766-eed5366344b3,4,1
e458c79a-9452-4b02-9093-79b68e2b1095,32039834-c914-44ea-bd2d-83ab37dd63e8,2,3
a346a318-0082-4b40-a576-defc7afde86d,58f237ac-1f1d-451d-a2ce-1b237b26c10f,3,3
43565489-fe85-4b56-b8cc-3b2f72b586c4,3e343192-dd25-487d-9815-c71067fcdeb9,1,1
